Usuario,Projeto,Bug,Merge,DiaDaSemana,TamanhoDescricao
0,0,False,False,Wednesday,0
1,0,False,False,Wednesday,0
1,0,False,False,Wednesday,0
1,0,False,False,Wednesday,0
0,0,False,True,Wednesday,0
1,0,False,True,Wednesday,0
1,0,False,True,Wednesday,0
5,0,False,False,Wednesday,0
0,0,False,False,Wednesday,0
5,0,True,False,Wednesday,26
5,0,False,False,Wednesday,0
5,0,False,False,Wednesday,29
5,0,False,False,Wednesday,0
5,0,False,False,Wednesday,0
5,0,True,False,Wednesday,0
1,0,False,True,Wednesday,0
1,0,False,False,Wednesday,90
0,0,False,False,Wednesday,0
0,0,False,False,Wednesday,0
1,0,False,False,Wednesday,0
1,0,False,False,Wednesday,0
5,0,True,False,Wednesday,0
1,0,False,False,Wednesday,72
1,0,False,False,Wednesday,29
5,0,False,False,Wednesday,0
6,0,False,False,Wednesday,0
1,0,False,False,Wednesday,0
1,0,False,False,Wednesday,632
5,0,False,False,Wednesday,0
1,0,False,False,Wednesday,0
5,0,False,False,Wednesday,0
5,0,True,False,Wednesday,0
5,0,False,False,Wednesday,35
0,0,False,False,Wednesday,0
1,0,False,False,Wednesday,0
0,0,False,False,Wednesday,0
5,0,True,False,Wednesday,0
0,0,False,False,Wednesday,0
1,0,False,False,Wednesday,0
1,0,False,False,Wednesday,0
1,0,False,False,Wednesday,96
5,0,False,False,Wednesday,90
5,0,False,False,Wednesday,0
1,0,False,True,Wednesday,0
1,0,False,True,Wednesday,0
1,0,False,False,Wednesday,13
0,0,False,False,Wednesday,0
7,0,False,False,Wednesday,0
5,0,False,True,Wednesday,0
1,0,False,True,Wednesday,0
1,0,False,False,Wednesday,0
1,0,False,False,Wednesday,0
1,0,False,False,Wednesday,0
1,0,False,False,Wednesday,0
1,0,False,False,Wednesday,0
7,0,False,False,Wednesday,73
1,0,False,True,Wednesday,0
7,0,False,False,Wednesday,125
5,0,True,False,Wednesday,0
5,0,False,False,Wednesday,0
1,0,False,True,Wednesday,0
1,0,False,True,Wednesday,0
1,0,False,False,Wednesday,21
1,0,False,True,Wednesday,0
5,0,False,True,Wednesday,0
7,0,True,False,Wednesday,0
1,1,False,False,Wednesday,10
1,0,False,False,Wednesday,196
0,0,False,False,Wednesday,0
0,0,False,False,Wednesday,0
0,0,False,True,Wednesday,0
